"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 18 20:28:40 CEST 2024","Tue Jun 18 20:28:41 CEST 2024","1300","webkit","login.spec.ts","","","","úpěšné přihlášení",""
"passed","Tue Jun 18 20:28:18 CEST 2024","Tue Jun 18 20:28:22 CEST 2024","4398","chromium","login II.spec.ts","Login","","","Nelze se přihlásit s nevalidním už. jménem a validním heslem",""
"passed","Tue Jun 18 20:28:18 CEST 2024","Tue Jun 18 20:28:22 CEST 2024","4642","chromium","home II.spec.ts","Home page","","","Ověření funkcionality přidání položky do košíku",""
"passed","Tue Jun 18 20:28:30 CEST 2024","Tue Jun 18 20:28:32 CEST 2024","1804","firefox","login.spec.ts","","","","Nelze se přihlásit s nevalidním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:41 CEST 2024","Tue Jun 18 20:28:42 CEST 2024","1068","webkit","login.spec.ts","","","","Nelze se přihlásit se zablokovaným uživatelem",""
"passed","Tue Jun 18 20:28:25 CEST 2024","Tue Jun 18 20:28:31 CEST 2024","5075","firefox","login II.spec.ts","Login","","","Nelze se přihlásit s validním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:40 CEST 2024","Tue Jun 18 20:28:41 CEST 2024","1380","webkit","login.spec.ts","","","","Nelze se přihlásit s nevalidním už. jménem a validním heslem",""
"passed","Tue Jun 18 20:28:29 CEST 2024","Tue Jun 18 20:28:32 CEST 2024","2079","firefox","login.spec.ts","","","","úpěšné přihlášení",""
"passed","Tue Jun 18 20:28:38 CEST 2024","Tue Jun 18 20:28:40 CEST 2024","1871","webkit","login II.spec.ts","Login","","","Nelze se přihlásit s nevalidním už. jménem a validním heslem",""
"passed","Tue Jun 18 20:28:40 CEST 2024","Tue Jun 18 20:28:42 CEST 2024","1271","webkit","login.spec.ts","","","","Nelze se přihlásit s nevalidním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:30 CEST 2024","Tue Jun 18 20:28:32 CEST 2024","1933","firefox","login.spec.ts","","","","Nelze se přihlásit s nevyplněnými políčky",""
"passed","Tue Jun 18 20:28:39 CEST 2024","Tue Jun 18 20:28:40 CEST 2024","1291","webkit","login II.spec.ts","Login","","","Nelze se přihlásit s nevalidním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:24 CEST 2024","Tue Jun 18 20:28:27 CEST 2024","3068","firefox","home II.spec.ts","Home page","","","Ověření home title",""
"passed","Tue Jun 18 20:28:23 CEST 2024","Tue Jun 18 20:28:25 CEST 2024","1213","chromium","login.spec.ts","","","","Nelze se přihlásit s nevalidním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:24 CEST 2024","Tue Jun 18 20:28:28 CEST 2024","3427","firefox","home II.spec.ts","Home page","","","Ověření funkcionality odstranění položky z košíku",""
"passed","Tue Jun 18 20:28:28 CEST 2024","Tue Jun 18 20:28:30 CEST 2024","2023","firefox","login II.spec.ts","Login","","","Nelze se přihlásit se zablokovaným uživatelem",""
"passed","Tue Jun 18 20:28:31 CEST 2024","Tue Jun 18 20:28:32 CEST 2024","1578","firefox","login.spec.ts","","","","Nelze se přihlásit se zablokovaným uživatelem",""
"passed","Tue Jun 18 20:28:41 CEST 2024","Tue Jun 18 20:28:42 CEST 2024","977","webkit","login.spec.ts","","","","Nelze se přihlásit s nevyplněnými políčky",""
"passed","Tue Jun 18 20:28:30 CEST 2024","Tue Jun 18 20:28:31 CEST 2024","1919","firefox","login.spec.ts","","","","Nelze se přihlásit s validním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:25 CEST 2024","Tue Jun 18 20:28:30 CEST 2024","4637","firefox","login II.spec.ts","Login","","","Nelze se přihlásit s nevalidním už. jménem a validním heslem",""
"passed","Tue Jun 18 20:28:22 CEST 2024","Tue Jun 18 20:28:23 CEST 2024","1122","chromium","login II.spec.ts","Login","","","Nelze se přihlásit s nevalidním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:22 CEST 2024","Tue Jun 18 20:28:24 CEST 2024","1284","chromium","login.spec.ts","","","","úpěšné přihlášení",""
"passed","Tue Jun 18 20:28:30 CEST 2024","Tue Jun 18 20:28:31 CEST 2024","1620","firefox","login.spec.ts","","","","Nelze se přihlásit s nevalidním už. jménem a validním heslem",""
"passed","Tue Jun 18 20:28:18 CEST 2024","Tue Jun 18 20:28:22 CEST 2024","4478","chromium","login II.spec.ts","Login","","","Nelze se přihlásit s validním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:24 CEST 2024","Tue Jun 18 20:28:28 CEST 2024","3278","firefox","home II.spec.ts","Home page","","","Ověření funkcionality přidání položky do košíku",""
"passed","Tue Jun 18 20:28:22 CEST 2024","Tue Jun 18 20:28:23 CEST 2024","1229","chromium","login II.spec.ts","Login","","","Nelze se přihlásit se zablokovaným uživatelem",""
"passed","Tue Jun 18 20:28:38 CEST 2024","Tue Jun 18 20:28:39 CEST 2024","1800","webkit","login II.spec.ts","Login","","","úpěšné přihlášení",""
"passed","Tue Jun 18 20:28:28 CEST 2024","Tue Jun 18 20:28:30 CEST 2024","1890","firefox","login II.spec.ts","Login","","","Nelze se přihlásit s nevyplněnými políčky",""
"passed","Tue Jun 18 20:28:23 CEST 2024","Tue Jun 18 20:28:25 CEST 2024","1054","chromium","login.spec.ts","","","","Nelze se přihlásit se zablokovaným uživatelem",""
"passed","Tue Jun 18 20:28:40 CEST 2024","Tue Jun 18 20:28:41 CEST 2024","1494","webkit","login II.spec.ts","Login","","","Nelze se přihlásit se zablokovaným uživatelem",""
"passed","Tue Jun 18 20:28:22 CEST 2024","Tue Jun 18 20:28:24 CEST 2024","1189","chromium","login.spec.ts","","","","Nelze se přihlásit s validním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:18 CEST 2024","Tue Jun 18 20:28:22 CEST 2024","4433","chromium","login II.spec.ts","Login","","","úpěšné přihlášení",""
"passed","Tue Jun 18 20:28:23 CEST 2024","Tue Jun 18 20:28:24 CEST 2024","1176","chromium","login.spec.ts","","","","Nelze se přihlásit s nevyplněnými políčky",""
"passed","Tue Jun 18 20:28:22 CEST 2024","Tue Jun 18 20:28:23 CEST 2024","1114","chromium","login II.spec.ts","Login","","","Nelze se přihlásit s nevyplněnými políčky",""
"passed","Tue Jun 18 20:28:40 CEST 2024","Tue Jun 18 20:28:41 CEST 2024","1282","webkit","login.spec.ts","","","","Nelze se přihlásit s validním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:18 CEST 2024","Tue Jun 18 20:28:22 CEST 2024","4758","chromium","home II.spec.ts","Home page","","","Ověření funkcionality odstranění položky z košíku",""
"passed","Tue Jun 18 20:28:38 CEST 2024","Tue Jun 18 20:28:40 CEST 2024","1775","webkit","login II.spec.ts","Login","","","Nelze se přihlásit s validním už. jménem a nevalidním heslem",""
"passed","Tue Jun 18 20:28:18 CEST 2024","Tue Jun 18 20:28:22 CEST 2024","4496","chromium","home II.spec.ts","Home page","","","Ověření home title",""
"passed","Tue Jun 18 20:28:37 CEST 2024","Tue Jun 18 20:28:40 CEST 2024","2424","webkit","home II.spec.ts","Home page","","","Ověření funkcionality přidání položky do košíku",""
